time,지역,가게이름,아이디,주문내용,댓글,맛,양,배달,사진주소,sajang,ko_text,token_review,tagging,Noun,Adverb,Number,Verb,Adjective
2021년 09월 1일,권선동,네네치킨-인계중앙점,jm**님,후라이드/1(소스 추가(양념소스)),고구마 치즈스틱 맛있어용,5,5,5,https://rev-static.yogiyo.co.kr/83112ea367450f6954724aa998f972ca_tn.jpg,사장님 답글이 없어요 ,고구마 치즈스틱 맛있어용,"['고구마', '치즈스틱', '맛있어용']","[('고구마', 'Noun'), ('치즈스틱', 'Noun'), ('맛있어용', 'Adjective')]","['고구마', '치즈스틱']",,,,",맛있어용"
2021년 09월 1일,권선동,네네치킨-인계중앙점,ma**님,"순살치즈스노윙치킨/1(소스 추가(양념소스)),맥주1000cc/1",아주아주 맛있어요 스노윙치즈 추천합니다,5,5,5,https://rev-static.yogiyo.co.kr/6aee32fd846a36888fab86c6dd88cfc1_tn.jpg,사장님 답글이 없어요 ,아주아주 맛있어요 스노윙치즈 추천합니다,"['아주아주', '맛있어요', '스노', '윙', '치즈', '추천', '합니다']","[('아주아주', 'Adverb'), ('맛있어요', 'Adjective'), ('스노', 'Noun'), ('윙', 'Noun'), ('치즈', 'Noun'), ('추천', 'Noun'), ('합니다', 'Verb')]","['스노', '윙', '치즈', '추천']",",아주아주",,",합니다",",맛있어요"
2021년 09월 1일,권선동,네네치킨-인계중앙점,tj**님,"뼈 반반/1(반마리 선택(양념반,후라이드반))",깜빡하고 먹는중 사진찍었어여 고구마치즈스틱 넘나 제스퇄~~,5,5,5,https://rev-static.yogiyo.co.kr/d509caca11b9b35a4f7a207f9d0737ae_tn.jpg,사장님 답글이 없어요 ,깜빡하고 먹는중 사진찍었어여 고구마치즈스틱 넘나 제스퇄,"['깜빡', '하고', '먹는', '중', '사진', '찍었어여', '고구마', '치즈스틱', '넘나', '제', '스퇄']","[('깜빡', 'Noun'), ('하고', 'Josa'), ('먹는', 'Verb'), ('중', 'Noun'), ('사진', 'Noun'), ('찍었어여', 'Verb'), ('고구마', 'Noun'), ('치즈스틱', 'Noun'), ('넘나', 'Verb'), ('제', 'Modifier'), ('스퇄', 'Noun')]","['깜빡', '중', '사진', '고구마', '치즈스틱', '스퇄']",,,",먹는,찍었어여,넘나",
2021년 09월 1일,권선동,네네치킨-인계중앙점,kn**님,"순살어니언스노윙치킨/1,청양마요소스/1",존맛 ㅎㅎ 다이어트해야하는데 너무 마싯어서 포기합니다,5,5,5,https://rev-static.yogiyo.co.kr/116ee98307ebfcd841b2d305c15bd9cb_tn.jpg,사장님 답글이 없어요 ,존맛 ㅎㅎ 다이어트해야하는데 너무 마싯어서 포기합니다,"['존맛', 'ㅎㅎ', '다이어트', '해야하는데', '너무', '마싯어서', '포기', '합니다']","[('존맛', 'Noun'), ('ㅎㅎ', 'KoreanParticle'), ('다이어트', 'Noun'), ('해야하는데', 'Verb'), ('너무', 'Adverb'), ('마싯어서', 'Verb'), ('포기', 'Noun'), ('합니다', 'Verb')]","['존맛', '다이어트', '포기']",",너무",,",해야하는데,마싯어서,합니다",
2021년 09월 1일,권선동,네네치킨-인계중앙점,gh**님,후라이드/1,맛있습니다!! ^^,5,5,5,https://rev-static.yogiyo.co.kr/87512ceb7bcd30aa4d511a6cea5c3af6_tn.jpg,사장님 답글이 없어요 ,맛있습니다 ,['맛있습니다'],"[('맛있습니다', 'Adjective')]",[],,,,",맛있습니다"
2021년 09월 18일,권선동,네네치킨-인계중앙점,es**님,"순살 반반/1(반마리 선택(순살어니언스노윙반,순살양념반))",따뜻하고 맛있게 잘 왔어요!,5,5,5,https://rev-static.yogiyo.co.kr/e459e49a618915153d4dfbff73c39238_tn.jpg,사장님 답글이 없어요 ,따뜻하고 맛있게 잘 왔어요,"['따뜻하고', '맛있게', '잘', '왔어요']","[('따뜻하고', 'Adjective'), ('맛있게', 'Adjective'), ('잘', 'Verb'), ('왔어요', 'Verb')]",[],,,",잘,왔어요",",따뜻하고,맛있게"
2021년 09월 17일,권선동,네네치킨-인계중앙점,jk**님,"순살 반반/1(반마리 선택(순살후라이드반,순살양념반))",순살반반 두번째 시키는데 너무 맛있어요저녁시간이라 배달이 조금 늦긴했지만 엄청 친절하세요,5,4,4,https://rev-static.yogiyo.co.kr/42b32be4f43269fafe8bc8a7b2b12352_tn.jpg,사장님 답글이 없어요 ,순살반반 두번째 시키는데 너무 맛있어요저녁시간이라 배달이 조금 늦긴했지만 엄청 친절하세요,"['순', '살', '반', '반', '두번째', '시키는데', '너무', '맛있어요', '저녁', '시간', '이라', '배달', '이', '조금', '늦긴', '했지만', '엄청', '친절하세요']","[('순', 'Modifier'), ('살', 'Noun'), ('반', 'Modifier'), ('반', 'Noun'), ('두번째', 'Noun'), ('시키는데', 'Verb'), ('너무', 'Adverb'), ('맛있어요', 'Adjective'), ('저녁', 'Noun'), ('시간', 'Noun'), ('이라', 'Josa'), ('배달', 'Noun'), ('이', 'Josa'), ('조금', 'Noun'), ('늦긴', 'Verb'), ('했지만', 'Verb'), ('엄청', 'Adverb'), ('친절하세요', 'Adjective')]","['살', '반', '두번째', '저녁', '시간', '배달', '조금']",",너무,엄청",,",시키는데,늦긴,했지만",",맛있어요,친절하세요"
2021년 09월 17일,권선동,네네치킨-인계중앙점,   손님,순살크리미언치킨/1(사이드 추가(치킨무)),배달기사분이 정말 친절하셨어요 추석명절 인사도 해주시고 감사했습니다 ^^ 맛있게 잘 먹을게요,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,배달기사분이 정말 친절하셨어요 추석명절 인사도 해주시고 감사했습니다  맛있게 잘 먹을게요,"['배달', '기사', '분', '이', '정말', '친절하셨어요', '추석', '명절', '인사', '도', '해주시', '고', '감사했습니다', '맛있게', '잘', '먹을게요']","[('배달', 'Noun'), ('기사', 'Noun'), ('분', 'Suffix'), ('이', 'Josa'), ('정말', 'Noun'), ('친절하셨어요', 'Adjective'), ('추석', 'Noun'), ('명절', 'Noun'), ('인사', 'Noun'), ('도', 'Josa'), ('해주시', 'Noun'), ('고', 'Josa'), ('감사했습니다', 'Verb'), ('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹을게요', 'Verb')]","['배달', '기사', '정말', '추석', '명절', '인사', '해주시']",,,",감사했습니다,잘,먹을게요",",친절하셨어요,맛있게"
2021년 09월 12일,권선동,네네치킨-인계중앙점,ha**님,"순살 반반/1(반마리 선택(순살치즈스노윙반,순살핫블링반))",네네는 늘 여기만 시킵니다오랜만에 시켰는데도 여전히 좋아오 : )잘 먹었습니다,5,5,5,https://rev-static.yogiyo.co.kr/f728412fb64b558ef7cb36990b8c9e61_tn.jpg,사장님 답글이 없어요 ,네네는 늘 여기만 시킵니다오랜만에 시켰는데도 여전히 좋아오  잘 먹었습니다,"['네네', '는', '늘', '여기', '만', '시킵니다', '오랜', '만', '에', '시켰는데도', '여전히', '좋아오', '잘', '먹었습니다']","[('네네', 'Noun'), ('는', 'Josa'), ('늘', 'Noun'), ('여기', 'Noun'), ('만', 'Josa'), ('시킵니다', 'Verb'), ('오랜', 'Modifier'), ('만', 'Noun'), ('에', 'Josa'), ('시켰는데도', 'Verb'), ('여전히', 'Adjective'), ('좋아오', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]","['네네', '늘', '여기', '만']",,,",시킵니다,시켰는데도,잘,먹었습니다",",여전히,좋아오"
2021년 09월 12일,권선동,네네치킨-인계중앙점,ja**님,"순살 반반/1(반마리 선택(순살후라이드반,순살양념반))",오래간만에 주문해서 맛있게 먹고 있습니다.,5,5,5,https://rev-static.yogiyo.co.kr/aec1c89a44e0c92f57026914267149b5_tn.jpg,사장님 답글이 없어요 ,오래간만에 주문해서 맛있게 먹고 있습니다,"['오래간만', '에', '주문', '해서', '맛있게', '먹고', '있습니다']","[('오래간만', 'Adverb'), ('에', 'Josa'), ('주문', 'Noun'), ('해서', 'Verb'), ('맛있게', 'Adjective'), ('먹고', 'Verb'), ('있습니다', 'Adjective')]",['주문'],",오래간만",,",해서,먹고",",맛있게,있습니다"
