크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
2020년 11월 22일,서초동,페리카나-서초동점,sp**님,2020년 11월 22일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),맛도 좋고 배송도 빨라요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/be72404358c598b942e9cf925f89019d_tn.jpg
2020년 11월 22일,서초동,페리카나-서초동점,kd**님,2020년 11월 22일,B세트（후라이드＋양념치킨＋콜라 1.25L）/1(사이드 추가 선택(무 추가)),2마리 배불리 잘 먹었네요 ㅋㅋ,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 11월 19일,서초동,페리카나-서초동점,an**님,2020년 11월 19일,순살후라이드 치킨/1(사이드 추가 선택(치즈스틱（6조각）추가)),맛있게 먹었습니다 감사합니다,4,4,4,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 11월 13일,서초동,페리카나-서초동점,sm**님,2020년 11월 13일,매운양념치킨/1,음...쿠폰 원래 줬었는데....맛은 있어요 날개가 1개...,4,3,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 11월 11일,서초동,페리카나-서초동점,ni**님,2020년 11월 11일,골뱅이무침＋소면/1,"메뉴가 약간 바꼈네욤, 가격을 살짝 올리셔서 섭섭하지만ㅠ 그래도 맛있어요또 시켜먹을게요",5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 11월 10일,서초동,페리카나-서초동점,aa**님,2020년 11월 10일,"반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨),사이드 추가 선택(떡사리 추가))",이번엔 양념에서 신맛이 평소보다 강했어요ㅠㅠ살짝 아쉬웠지만 괜찮아요,4,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 11월 9일,서초동,페리카나-서초동점,jl**님,2020년 11월 9일,반반（후라이드 반＋양념 반）/1(치킨 선택(순살 치킨)),늘 맛있습니다 배달도 예정 시간보다 15분정도 빨리 왔네요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 11월 8일,서초동,페리카나-서초동점,kh**님,2020년 11월 8일,순살떡양념치킨/1,페리카나 순살떡양념이 치킨중에 최애에요...그중 이지점에서 젤 맛나게해요 꼭 여기서 시켜야함,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 11월 5일,서초동,페리카나-서초동점,sy**님,2020년 11월 5일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),옛날 치킨 맛 넘 좋아요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 11월 3일,서초동,페리카나-서초동점,ma**님,2020년 11월 3일,순살간장 치킨/1,콜라가 펩시라 별 하나 빠짐,4,4,4,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 11월 1일,서초동,페리카나-서초동점,cf**님,2020년 11월 1일,"후라이드 치킨/1,골뱅이무침＋소면/1",골뱅이소면 맛이 변했어요,3,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 10월 30일,서초동,페리카나-서초동점,na**님,2020년 10월 30일,반반（후라이드 반＋양념 반）/1(치킨 선택(순살 치킨)),메뉴 특성상 감안하긴하지만 순살은 양이 너무 적네요,5,2,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 10월 30일,서초동,페리카나-서초동점,al**님,2020년 10월 30일,순살양념 치킨/1(사이드 추가 선택(페리치즈볼 5개 추가)),페리카나는 순살양념이 진리라고 생각합니다..,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 10월 25일,서초동,페리카나-서초동점,cs**님,2020년 10월 25일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),"배달도 정확하고, 치킨 맛도 좋습니다 ~^^",5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 10월 18일,서초동,페리카나-서초동점,ko**님,2020년 10월 18일,후라이드 치킨/1,좋아요 맛있어요굿굿,3,3,3,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 10월 18일,서초동,페리카나-서초동점,zz**님,2020년 10월 18일,반반（후라이드 반＋핫양념 반）/1(치킨 선택(순살 치킨)),배달 빠르고 맛있어요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 10월 17일,서초동,페리카나-서초동점,   손님,2020년 10월 17일,"양념치킨（싱글）/1,페리치즈볼 5개/1",맛있어요 친절하구,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 10월 17일,서초동,페리카나-서초동점,en**님,2020년 10월 17일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),양념은 역시 페리카나~~,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 10월 17일,서초동,페리카나-서초동점,di**님,2020년 10월 17일,"반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨),사이드 추가 선택(떡사리 추가))",그냥 평타이상 입니당.,3,3,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 10월 16일,서초동,페리카나-서초동점,sw**님,2020년 10월 16일,"순살떡양념치킨/1(사이드 추가 선택(사이다 1.25L 변경)),츄러스치즈볼 5개/1",맛있게 먹었습니다. 감사합니다^^,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/05e48ac29fa310bede9693f29a871b03_tn.jpg
2020년 10월 12일,서초동,페리카나-서초동점,an**님,2020년 10월 12일,F세트（후라이드＋뿌리오＋콜라1.25L）/1(뿌리오 맛 선택(치즈)),깨끗하고 맛도 좋고  다 좋은데 양이 좀 적어보이는 느낌입니다 기대가 컸던탓겠죠.. 5천원차이로 2마리 먹겠다고 아들이 우겨서 시킨건데 아들눈엔 적은양이었나봅니다 몇조각 남겨서 다음날아침치밥먹을생각에서요.. 배달은 일찍 온것같은대 전화도않고 문아 에서 식어가고있어서 아쉬웠어요.. 잘먹었습니다~ 근데 매운치킨은 좀 더 매웠으면 좋겠어요~,5,4,4,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/7704ce55f0dce46db7004e8c05b15cc2_tn.jpg
2020년 10월 11일,서초동,페리카나-서초동점,sp**님,2020년 10월 11일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),크어 너무 맛있네요 옛날의 그맛,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/2f2822b87adf2cf679cdd621177d194d_tn.jpg
2020년 10월 11일,서초동,페리카나-서초동점,ag**님,2020년 10월 11일,반반（양념 반＋간장 반）/1(치킨 선택(순살 치킨)),"다 먹어버려 사진이 없네요. 정갈한 포장, 양념도 넉넉히 넣어주시고, 치킨도 속은 부드럽고 겉은 바삭하게 튀겨져 먹는 내내 행복했어요!",5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 10월 3일,서초동,페리카나-서초동점,mi**님,2020년 10월 3일,E세트（후라이드＋떡양념치킨＋콜라 1.25L）/1,맛있어요 잘 먹엇습니다!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/4d5d564e5b9b20ef9a79b7a9dd9d28ef_tn.jpg
2020년 10월 3일,서초동,페리카나-서초동점,ra**님,2020년 10월 3일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),오..여기 맛있네요.후라이드반 양념반튀김옷 두께도 좋고 아주 고소해요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 9월 30일,서초동,페리카나-서초동점,ck**님,2020년 9월 30일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),한마리인데 너무 양이적습니다 일주일 3번정도는 치킨집 바꿔가며 시켜먹는데 양이젤적은것같네요... 맛은 옛날느낌이라 괜찮네요,4,4,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 9월 23일,서초동,페리카나-서초동점,re**님,2020년 9월 23일,양념 치킨/1,늦지 않게 배달해 주셨어요.,3,3,3,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 9월 23일,서초동,페리카나-서초동점,wi**님,2020년 9월 23일,반반（간장 반＋마늘 반）/1(치킨 선택(뼈있는 치킨)),굿이네요. 맛있게 잘 먹었습니다. 수고하셨습니다.,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 9월 23일,서초동,페리카나-서초동점,lg**님,2020년 9월 23일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),맛있어요~근데 일회용 수저 안받겠다고 표시했는데 주셨어요 ㅠ,5,4,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/b14fa51f74482ba19ecc38bd788d6757_tn.jpg
2020년 9월 21일,서초동,페리카나-서초동점,wh**님,2020년 9월 21일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),옛날치킨 맛있어요.,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 9월 19일,서초동,페리카나-서초동점,wh**님,2020년 9월 19일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),양도 괜찮고 맛있음 배달도 빠름,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 9월 18일,서초동,페리카나-서초동점,sp**님,2020년 9월 18일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),배달도 빠르고 역시 맛있어요:),5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 9월 16일,서초동,페리카나-서초동점,   손님,2020년 9월 16일,누꼬진짬뽕（뼈있는치킨）/1,맛나요! 좋아요! 싱기방기해요!,4,4,4,----사장님 답글이 없어요 ----,이미지는 없어요
