time,지역,가게이름,아이디,주문내용,댓글,맛,양,배달,사진주소,sajang,ko_text,token_review,tagging,Noun,Adverb,Number,Verb,Adjective
2021년 10월 05일,당수동,코리엔탈깻잎두마리치킨-율천점,ly**님,[골드라벨]치즈킹치킨 두마리 세트/1(치킨선택1(불마왕치킨)),"배달은 행사라 늦을 수 있다고 생각하는데,치킨이 바삭하지가 않고 튀김이 두껍고 눅눅했습니다.치킨을 바삭하게 튀기시면 더 맛있을 것 같아요.",3,4,3,https://rev-static.yogiyo.co.kr/8bbdb159cc2efd1908f3dbf708fc9326_tn.jpg,사장님 답글이 없어요 ,배달은 행사라 늦을 수 있다고 생각하는데치킨이 바삭하지가 않고 튀김이 두껍고 눅눅했습니다치킨을 바삭하게 튀기시면 더 맛있을 것 같아요,"['배달', '은', '행사', '라', '늦', '을', '수', '있다고', '생각', '하는데', '치킨', '이', '바삭', '하지가', '않고', '튀김', '이', '두껍고', '눅눅했습니다', '치킨', '을', '바삭', '하게', '튀기시면', '더', '맛있을', '것', '같아요']","[('배달', 'Noun'), ('은', 'Josa'), ('행사', 'Noun'), ('라', 'Josa'), ('늦', 'Noun'), ('을', 'Josa'), ('수', 'Noun'), ('있다고', 'Adjective'), ('생각', 'Noun'), ('하는데', 'Verb'), ('치킨', 'Noun'), ('이', 'Josa'), ('바삭', 'Noun'), ('하지가', 'Verb'), ('않고', 'Verb'), ('튀김', 'Noun'), ('이', 'Josa'), ('두껍고', 'Adjective'), ('눅눅했습니다', 'Adjective'), ('치킨', 'Noun'), ('을', 'Josa'), ('바삭', 'Noun'), ('하게', 'Verb'), ('튀기시면', 'Verb'), ('더', 'Noun'), ('맛있을', 'Adjective'), ('것', 'Noun'), ('같아요', 'Adjective')]","['배달', '행사', '늦', '수', '생각', '치킨', '바삭', '튀김', '치킨', '바삭', '더', '것']",,,",하는데,하지가,않고,하게,튀기시면",",있다고,두껍고,눅눅했습니다,맛있을,같아요"
2021년 10월 05일,당수동,코리엔탈깻잎두마리치킨-율천점,dr**님,[골드라벨]치즈킹치킨 두마리 세트/1(치킨선택1(불마왕치킨)),맛있게 잘 먹었네요,5,5,5,https://rev-static.yogiyo.co.kr/90e2df24f4928ea37da0dff8c89d0318_tn.jpg,사장님 답글이 없어요 ,맛있게 잘 먹었네요,"['맛있게', '잘', '먹었네요']","[('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었네요', 'Verb')]",[],,,",잘,먹었네요",",맛있게"
2021년 10월 04일,당수동,코리엔탈깻잎두마리치킨-율천점,jh**님,"두마리 2가지맛 선택/1(치킨선택1(슈프림 양념),치킨선택2(파닭 양념))",둘이서 먹기에딱맞고 맛도좋고 잘먹엇어여!,5,5,3,https://rev-static.yogiyo.co.kr/408592e32fd6e5cf0c0b7d09cc30d7db_tn.jpg,사장님 답글이 없어요 ,둘이서 먹기에딱맞고 맛도좋고 잘먹엇어여,"['둘이서', '먹기', '에', '딱', '맞고', '맛', '도', '좋고', '잘먹엇어', '여']","[('둘이서', 'Noun'), ('먹기', 'Noun'), ('에', 'Josa'), ('딱', 'VerbPrefix'), ('맞고', 'Verb'), ('맛', 'Noun'), ('도', 'Josa'), ('좋고', 'Adjective'), ('잘먹엇어', 'Noun'), ('여', 'Josa')]","['둘이서', '먹기', '맛', '잘먹엇어']",,,",맞고",",좋고"
2021년 10월 04일,당수동,코리엔탈깻잎두마리치킨-율천점,ef**님,"한마리 1가지맛 선택/1(치킨선택1(후라이드)),양파크리미치킨 소스/1",아주 맛있네요또 먹고 싶습니다.,5,5,0,https://rev-static.yogiyo.co.kr/4ecd8ef7a4e4142e805ca0f3f6cd4819_tn.jpg,사장님 답글이 없어요 ,아주 맛있네요또 먹고 싶습니다,"['아주', '맛있네요', '또', '먹고', '싶습니다']","[('아주', 'Noun'), ('맛있네요', 'Adjective'), ('또', 'Noun'), ('먹고', 'Verb'), ('싶습니다', 'Verb')]","['아주', '또']",,,",먹고,싶습니다",",맛있네요"
2021년 10월 04일,당수동,코리엔탈깻잎두마리치킨-율천점,yr**님,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（BEST）수원 왕갈비치킨))",언제나 실망시키지 않는 맛! 잘 먹었습니다,5,5,5,https://rev-static.yogiyo.co.kr/084317faf802065bacf2b8e77ef5d769_tn.jpg,사장님 답글이 없어요 ,언제나 실망시키지 않는 맛 잘 먹었습니다,"['언제나', '실망', '시키지', '않는', '맛', '잘', '먹었습니다']","[('언제나', 'Adverb'), ('실망', 'Noun'), ('시키지', 'Verb'), ('않는', 'Verb'), ('맛', 'Noun'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]","['실망', '맛']",",언제나",,",시키지,않는,잘,먹었습니다",
2021년 10월 04일,당수동,코리엔탈깻잎두마리치킨-율천점,cj**님,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（인기）양념))",맛있게 잘 먹었어요~,5,5,5,https://rev-static.yogiyo.co.kr/2a974d2509a9c599c46489af61b5fae8_tn.jpg,사장님 답글이 없어요 ,맛있게 잘 먹었어요,"['맛있게', '잘', '먹었어요']","[('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었어요', 'Verb')]",[],,,",잘,먹었어요",",맛있게"
2021년 10월 04일,당수동,코리엔탈깻잎두마리치킨-율천점,ch**님,한마리 1가지맛 선택/1(치킨선택1(후라이드)),치킨 맛 좋았습니다. 감자는 좀 salty했습니다.,5,5,5,https://rev-static.yogiyo.co.kr/9ae6349f4a66567095e82cfcd97f8d48_tn.jpg,사장님 답글이 없어요 ,치킨 맛 좋았습니다 감자는 좀 했습니다,"['치킨', '맛', '좋았습니다', '감자', '는', '좀', '했습니다']","[('치킨', 'Noun'), ('맛', 'Noun'), ('좋았습니다', 'Adjective'), ('감자', 'Noun'), ('는', 'Josa'), ('좀', 'Noun'), ('했습니다', 'Verb')]","['치킨', '맛', '감자', '좀']",,,",했습니다",",좋았습니다"
2021년 10월 04일,당수동,코리엔탈깻잎두마리치킨-율천점,pj**님,"두마리 2가지맛 선택/1(치킨선택1(（BEST）수원 왕갈비치킨),치킨선택2(양파크리미치킨))",수원왕갈비통닭은 겉과 안에 고추가 콕 박혀 있어서 매콤했고 아주 매운 정도는 아니었어요! 양은 4명이서 먹으면 살짝 배부른 정도 이고 감자튀김도 짭짤해서 맛나더라구요 양파 크리미에 양파는 충분하게 와서 좋았어요,5,5,5,https://rev-static.yogiyo.co.kr/215fcc4e058903200ab71cb5fec98500_tn.jpg,사장님 답글이 없어요 ,수원왕갈비통닭은 겉과 안에 고추가 콕 박혀 있어서 매콤했고 아주 매운 정도는 아니었어요 양은 명이서 먹으면 살짝 배부른 정도 이고 감자튀김도 짭짤해서 맛나더라구요 양파 크리미에 양파는 충분하게 와서 좋았어요,"['수원', '왕', '갈비', '통닭', '은', '겉', '과', '안', '에', '고추가', '콕', '박혀', '있어서', '매콤', '했고', '아주', '매운', '정도', '는', '아니었어요', '양은', '명', '이서', '먹으면', '살짝', '배부른', '정도', '이고', '감자', '튀김', '도', '짭짤해서', '맛', '나더라구요', '양파', '크리미', '에', '양파', '는', '충분하게', '와서', '좋았어요']","[('수원', 'Noun'), ('왕', 'Suffix'), ('갈비', 'Noun'), ('통닭', 'Noun'), ('은', 'Josa'), ('겉', 'Noun'), ('과', 'Josa'), ('안', 'Noun'), ('에', 'Josa'), ('고추가', 'Noun'), ('콕', 'Noun'), ('박혀', 'Verb'), ('있어서', 'Adjective'), ('매콤', 'Noun'), ('했고', 'Verb'), ('아주', 'Noun'), ('매운', 'Adjective'), ('정도', 'Noun'), ('는', 'Josa'), ('아니었어요', 'Adjective'), ('양은', 'Noun'), ('명', 'Noun'), ('이서', 'Noun'), ('먹으면', 'Verb'), ('살짝', 'Noun'), ('배부른', 'Adjective'), ('정도', 'Noun'), ('이고', 'Josa'), ('감자', 'Noun'), ('튀김', 'Noun'), ('도', 'Josa'), ('짭짤해서', 'Adjective'), ('맛', 'Noun'), ('나더라구요', 'Verb'), ('양파', 'Noun'), ('크리미', 'Noun'), ('에', 'Josa'), ('양파', 'Noun'), ('는', 'Josa'), ('충분하게', 'Adjective'), ('와서', 'Verb'), ('좋았어요', 'Adjective')]","['수원', '갈비', '통닭', '겉', '안', '고추가', '콕', '매콤', '아주', '정도', '양은', '명', '이서', '살짝', '정도', '감자', '튀김', '맛', '양파', '크리미', '양파']",,,",박혀,했고,먹으면,나더라구요,와서",",있어서,매운,아니었어요,배부른,짭짤해서,충분하게,좋았어요"
2021년 10월 04일,당수동,코리엔탈깻잎두마리치킨-율천점,sn**님,황금지단치킨 두마리 세트/1(치킨선택2(（인기）양념)),양 많고 맛있습니다,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,양 많고 맛있습니다,"['양', '많고', '맛있습니다']","[('양', 'Noun'), ('많고', 'Adjective'), ('맛있습니다', 'Adjective')]",['양'],,,,",많고,맛있습니다"
2021년 10월 04일,당수동,코리엔탈깻잎두마리치킨-율천점,so**님,[레드라벨]불마왕치킨 두마리 세트/1(치킨선택1(후레쉬갈릭)),가성비 짱!!!울 아들이 좋아하는 완전 매운맛~~나는 알싸한 마늘소스 정말 맛있어요.소떡소떡은 휴게소꺼보다 더 맛있어요.감자튀김도 양념가득 정성이 느껴지는 맛입니다,5,5,5,https://rev-static.yogiyo.co.kr/055fbc0e9a88fa1c5155a96d6bff418b_tn.jpg,사장님 답글이 없어요 ,가성비 짱울 아들이 좋아하는 완전 매운맛나는 알싸한 마늘소스 정말 맛있어요소떡소떡은 휴게소꺼보다 더 맛있어요감자튀김도 양념가득 정성이 느껴지는 맛입니다,"['가성', '비', '짱', '울', '아들', '이', '좋아하는', '완전', '매운', '맛', '나', '는', '알싸한', '마늘', '소스', '정말', '맛있어', '요소', '떡', '소', '떡', '은', '휴게소', '꺼', '보다', '더', '맛있어요', '감자', '튀김', '도', '양념', '가득', '정성', '이', '느껴지는', '맛', '입니다']","[('가성', 'Noun'), ('비', 'Noun'), ('짱', 'Modifier'), ('울', 'Noun'), ('아들', 'Noun'), ('이', 'Josa'), ('좋아하는', 'Adjective'), ('완전', 'Noun'), ('매운', 'Adjective'), ('맛', 'Noun'), ('나', 'Josa'), ('는', 'Verb'), ('알싸한', 'Adjective'), ('마늘', 'Noun'), ('소스', 'Noun'), ('정말', 'Noun'), ('맛있어', 'Adjective'), ('요소', 'Noun'), ('떡', 'Noun'), ('소', 'Modifier'), ('떡', 'Noun'), ('은', 'Josa'), ('휴게소', 'Noun'), ('꺼', 'Suffix'), ('보다', 'Josa'), ('더', 'Noun'), ('맛있어요', 'Adjective'), ('감자', 'Noun'), ('튀김', 'Noun'), ('도', 'Josa'), ('양념', 'Noun'), ('가득', 'Noun'), ('정성', 'Noun'), ('이', 'Josa'), ('느껴지는', 'Verb'), ('맛', 'Noun'), ('입니다', 'Adjective')]","['가성', '비', '울', '아들', '완전', '맛', '마늘', '소스', '정말', '요소', '떡', '떡', '휴게소', '더', '감자', '튀김', '양념', '가득', '정성', '맛']",,,",는,느껴지는",",좋아하는,매운,알싸한,맛있어,맛있어요,입니다"
