time,지역,가게이름,아이디,주문내용,댓글,맛,양,배달,사진주소,sajang,ko_text,token_review,tagging,Noun,Adverb,Number,Verb,Adjective
2021년 12월 07일,정왕동,처갓집양념치킨-시화2점,wj**님,순살 슈프림양념치킨/1,순살양념 소스도 많고 맛있어요😊,5,5,0,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,순살양념 소스도 많고 맛있어요,"['순', '살', '양념', '소스', '도', '많고', '맛있어요']","[('순', 'Modifier'), ('살', 'Noun'), ('양념', 'Noun'), ('소스', 'Noun'), ('도', 'Josa'), ('많고', 'Adjective'), ('맛있어요', 'Adjective')]","['살', '양념', '소스']",,,,",많고,맛있어요"
2021년 12월 06일,정왕동,처갓집양념치킨-시화2점,st**님,순살 허니올리고당야채양념치킨/1,양념은 처갓집이죠 좋았어요,5,5,5,https://rev-static.yogiyo.co.kr/53986d7186b9d6e4e66a6e284541e417_tn.jpg,사장님 답글이 없어요 ,양념은 처갓집이죠 좋았어요,"['양념', '은', '처갓집', '이', '죠', '좋았어요']","[('양념', 'Noun'), ('은', 'Josa'), ('처갓집', 'Noun'), ('이', 'Suffix'), ('죠', 'Josa'), ('좋았어요', 'Adjective')]","['양념', '처갓집']",,,,",좋았어요"
2021년 12월 06일,정왕동,처갓집양념치킨-시화2점,on**님,순살 슈프림양념치킨/1(옵션(떡사리)),떡사리 있는 지점 찾았네용 ㅎ 맛있게 잘 먹었어용,5,5,5,https://rev-static.yogiyo.co.kr/73776801bf381b60e27232284eaaad2d_tn.jpg,사장님 답글이 없어요 ,떡사리 있는 지점 찾았네용 ㅎ 맛있게 잘 먹었어용,"['떡', '사리', '있는', '지점', '찾았', '네', '용', 'ㅎ', '맛있게', '잘', '먹었어용']","[('떡', 'Noun'), ('사리', 'Noun'), ('있는', 'Adjective'), ('지점', 'Noun'), ('찾았', 'Verb'), ('네', 'Determiner'), ('용', 'Noun'), ('ㅎ', 'KoreanParticle'), ('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었어용', 'Verb')]","['떡', '사리', '지점', '용']",,,",찾았,잘,먹었어용",",있는,맛있게"
2021년 12월 06일,정왕동,처갓집양념치킨-시화2점,an**님,허니올리고당야채양념치킨/1,맛있게 잘 먹었습니다~,5,5,0,https://rev-static.yogiyo.co.kr/718c1bf0219eebaddf87e13823d2458d_tn.jpg,사장님 답글이 없어요 ,맛있게 잘 먹었습니다,"['맛있게', '잘', '먹었습니다']","[('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]",[],,,",잘,먹었습니다",",맛있게"
2021년 12월 06일,정왕동,처갓집양념치킨-시화2점,rr**님,"순살 슈프림양념치킨/1(옵션(콜라 1.25L 변경,떡사리))",소스가 다른지점보다 적어 아쉬워요,3,5,5,https://rev-static.yogiyo.co.kr/a3dbde60f510b546d36e288b50b26ca6_tn.jpg,사장님 답글이 없어요 ,소스가 다른지점보다 적어 아쉬워요,"['소스', '가', '다른', '지점', '보다', '적어', '아쉬워요']","[('소스', 'Noun'), ('가', 'Josa'), ('다른', 'Modifier'), ('지점', 'Noun'), ('보다', 'Josa'), ('적어', 'Verb'), ('아쉬워요', 'Adjective')]","['소스', '지점']",,,",적어",",아쉬워요"
2021년 12월 06일,정왕동,처갓집양념치킨-시화2점,gh**님,순살 슈프림양념치킨/1,맛있게 잘먹었습니다.,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,맛있게 잘먹었습니다,"['맛있게', '잘', '먹었습니다']","[('맛있게', 'Adjective'), ('잘', 'VerbPrefix'), ('먹었습니다', 'Verb')]",[],,,",먹었습니다",",맛있게"
2021년 12월 06일,정왕동,처갓집양념치킨-시화2점,qa**님,"두마리세트（치킨 두 종류 선택）/1(치킨선택1(허니올리고당야채양념치킨),치킨선택2(치즈슈프림양념치킨))",너무 맛있습니다~^^,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,너무 맛있습니다,"['너무', '맛있습니다']","[('너무', 'Adverb'), ('맛있습니다', 'Adjective')]",[],",너무",,,",맛있습니다"
2021년 12월 06일,정왕동,처갓집양념치킨-시화2점,by**님,슈프림양념치킨/1,맛있어요👍🏻 믿먹 처갓집,5,5,5,https://rev-static.yogiyo.co.kr/b7779c6a7652ca7ca1351d3f2788af4e_tn.jpg,사장님 답글이 없어요 ,맛있어요 믿먹 처갓집,"['맛있어요', '믿', '먹', '처갓집']","[('맛있어요', 'Adjective'), ('믿', 'Verb'), ('먹', 'Verb'), ('처갓집', 'Noun')]",['처갓집'],,,",믿,먹",",맛있어요"
2021년 12월 05일,정왕동,처갓집양념치킨-시화2점,ek**님,순살 슈프림골드양념치킨/1,맛있었어요오👍🏻👍🏻👍🏻👍🏻,5,5,5,https://rev-static.yogiyo.co.kr/9d248d7e085a1fb3c96e4108945343d3_tn.jpg,사장님 답글이 없어요 ,맛있었어요오,"['맛있었어요', '오']","[('맛있었어요', 'Adjective'), ('오', 'Noun')]",['오'],,,,",맛있었어요"
2021년 12월 05일,정왕동,처갓집양념치킨-시화2점,se**님,순살 허니올리고당야채양념치킨/1(옵션(양배추 샐러드)),만점입니다. 만잠받아가세요.,5,5,0,https://rev-static.yogiyo.co.kr/7fd6356b99af70286adea9ae3e6826e9_tn.jpg,사장님 답글이 없어요 ,만점입니다 만잠받아가세요,"['만점', '입니다', '만', '잠', '받아가세요']","[('만점', 'Noun'), ('입니다', 'Adjective'), ('만', 'Modifier'), ('잠', 'Noun'), ('받아가세요', 'Verb')]","['만점', '잠']",,,",받아가세요",",입니다"
2021년 12월 05일,정왕동,처갓집양념치킨-시화2점,be**님,"반반치킨（반반 두 종류 선택）/1(반반선택(슈프림양념치킨,허니올리고당야채양념치킨))",맛있게 잘먹었습니다!!,5,5,5,https://rev-static.yogiyo.co.kr/1a7162d707af8d6f4cd0bc78c3402da7_tn.jpg,사장님 답글이 없어요 ,맛있게 잘먹었습니다,"['맛있게', '잘', '먹었습니다']","[('맛있게', 'Adjective'), ('잘', 'VerbPrefix'), ('먹었습니다', 'Verb')]",[],,,",먹었습니다",",맛있게"
2021년 12월 05일,정왕동,처갓집양념치킨-시화2점,be**님,"반반치킨（반반 두 종류 선택）/1(반반선택(슈프림양념치킨,후라이드치킨),옵션(콜라 1.25L 변경))",슈프림양념 반 후라이드 반 짱맛나여,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,슈프림양념 반 후라이드 반 짱맛나여,"['슈프림', '양념', '반', '후라이드', '반', '짱', '맛', '나', '여']","[('슈프림', 'Noun'), ('양념', 'Noun'), ('반', 'Noun'), ('후라이드', 'Noun'), ('반', 'Noun'), ('짱', 'Modifier'), ('맛', 'Noun'), ('나', 'Josa'), ('여', 'Noun')]","['슈프림', '양념', '반', '후라이드', '반', '맛', '여']",,,,
2021년 12월 05일,정왕동,처갓집양념치킨-시화2점,eh**님,"순살두마리세트（치킨 두 종류 선택）/1(치킨선택1(순살 후라이드치킨),치킨선택2(순살 핫슈프림양념치킨))",맛있고 양도 적당하고 다시 시켜먹을건데 콜라안주셔서 별 4점..,5,5,5,https://rev-static.yogiyo.co.kr/0ddb19de56da76452349ea420535ddca_tn.jpg,사장님 답글이 없어요 ,맛있고 양도 적당하고 다시 시켜먹을건데 콜라안주셔서 별 점,"['맛있고', '양도', '적당하고', '다시', '시켜', '먹을건데', '콜라', '안', '주셔서', '별', '점']","[('맛있고', 'Adjective'), ('양도', 'Noun'), ('적당하고', 'Adjective'), ('다시', 'Noun'), ('시켜', 'Verb'), ('먹을건데', 'Verb'), ('콜라', 'Noun'), ('안', 'VerbPrefix'), ('주셔서', 'Verb'), ('별', 'Noun'), ('점', 'Noun')]","['양도', '다시', '콜라', '별', '점']",,,",시켜,먹을건데,주셔서",",맛있고,적당하고"
2021년 12월 05일,정왕동,처갓집양념치킨-시화2점,dh**님,슈프림양념치킨/1(옵션(떡사리)),소스많이부탁드렸는데 위에는 많이 없어서 아쉽다생각했는데 밑에보니 아래까지 그득하게 있어서 정말 끝까지 맛있게먹었어요 ㅎㅎ 감사합니다 배달도 빨랐어요!!,5,5,5,https://rev-static.yogiyo.co.kr/1416e8d40b11094a771ba205f53434a5_tn.jpg,사장님 답글이 없어요 ,소스많이부탁드렸는데 위에는 많이 없어서 아쉽다생각했는데 밑에보니 아래까지 그득하게 있어서 정말 끝까지 맛있게먹었어요 ㅎㅎ 감사합니다 배달도 빨랐어요,"['소스', '많이', '부탁드렸는데', '위', '에는', '많이', '없어서', '아쉽다', '생각', '했는데', '밑', '에보니', '아래', '까지', '그득하게', '있어서', '정말', '끝', '까지', '맛있게', '먹었어요', 'ㅎㅎ', '감사합니다', '배달', '도', '빨랐어요']","[('소스', 'Noun'), ('많이', 'Adverb'), ('부탁드렸는데', 'Adjective'), ('위', 'Noun'), ('에는', 'Josa'), ('많이', 'Adverb'), ('없어서', 'Adjective'), ('아쉽다', 'Adjective'), ('생각', 'Noun'), ('했는데', 'Verb'), ('밑', 'Noun'), ('에보니', 'Noun'), ('아래', 'Noun'), ('까지', 'Josa'), ('그득하게', 'Adjective'), ('있어서', 'Adjective'), ('정말', 'Noun'), ('끝', 'Noun'), ('까지', 'Josa'), ('맛있게', 'Adjective'), ('먹었어요', 'Verb'), ('ㅎㅎ', 'KoreanParticle'), ('감사합니다', 'Verb'), ('배달', 'Noun'), ('도', 'Josa'), ('빨랐어요', 'Adjective')]","['소스', '위', '생각', '밑', '에보니', '아래', '정말', '끝', '배달']",",많이,많이",,",했는데,먹었어요,감사합니다",",부탁드렸는데,없어서,아쉽다,그득하게,있어서,맛있게,빨랐어요"
