time,지역,가게이름,아이디,주문내용,댓글,맛,양,배달,사진주소,sajang,ko_text,token_review,tagging,Noun,Adverb,Number,Verb,Adjective
2021년 08월 29일,권선동,교촌치킨-매교점,qk**님,교촌반반순살[R]/1(사이드 메뉴(선택안함)),제가 사진은 잘 못찍었지만.. 정말 맛있게 잘 먹었어요 ^~^ 다음에 또 먹겠습니다,5,5,5,https://rev-static.yogiyo.co.kr/fa96b3f41974566d1f6c911b1391be85_tn.jpg,사장님 답글이 없어요 ,제가 사진은 잘 못찍었지만 정말 맛있게 잘 먹었어요  다음에 또 먹겠습니다,"['제', '가', '사진', '은', '잘', '못', '찍었지만', '정말', '맛있게', '잘', '먹었어요', '다음', '에', '또', '먹겠습니다']","[('제', 'Noun'), ('가', 'Josa'), ('사진', 'Noun'), ('은', 'Josa'), ('잘', 'Verb'), ('못', 'VerbPrefix'), ('찍었지만', 'Verb'), ('정말', 'Noun'), ('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었어요', 'Verb'), ('다음', 'Noun'), ('에', 'Josa'), ('또', 'Noun'), ('먹겠습니다', 'Verb')]","['제', '사진', '정말', '다음', '또']",,,",잘,찍었지만,잘,먹었어요,먹겠습니다",",맛있게"
2021년 08월 29일,권선동,교촌치킨-매교점,jj**님,교촌허니콤보/1,유독 매교점만 튀김옷이 더 바삭하고속살은 더 부드러운거 같아요잘먹었습니다,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,유독 매교점만 튀김옷이 더 바삭하고속살은 더 부드러운거 같아요잘먹었습니다,"['유독', '매', '교점', '만', '튀김', '옷', '이', '더', '바삭', '하고', '속', '살', '은', '더', '부드러운거', '같아요', '잘', '먹었습니다']","[('유독', 'Noun'), ('매', 'Modifier'), ('교점', 'Noun'), ('만', 'Josa'), ('튀김', 'Noun'), ('옷', 'Noun'), ('이', 'Josa'), ('더', 'Noun'), ('바삭', 'Noun'), ('하고', 'Josa'), ('속', 'Modifier'), ('살', 'Noun'), ('은', 'Josa'), ('더', 'Noun'), ('부드러운거', 'Adjective'), ('같아요', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]","['유독', '교점', '튀김', '옷', '더', '바삭', '살', '더']",,,",잘,먹었습니다",",부드러운거,같아요"
2021년 08월 29일,권선동,교촌치킨-매교점,hy**님,"교촌오리지날/1,교촌레드콤보/1",역시~치킨은 교촌이예요~맛있게 잘 먹었습니다~,5,5,5,https://rev-static.yogiyo.co.kr/529799a4391ba8177914e9bd66d939eb_tn.jpg,사장님 답글이 없어요 ,역시치킨은 교촌이예요맛있게 잘 먹었습니다,"['역시', '치킨', '은', '교촌', '이', '예요', '맛있게', '잘', '먹었습니다']","[('역시', 'Noun'), ('치킨', 'Noun'), ('은', 'Josa'), ('교촌', 'Noun'), ('이', 'Suffix'), ('예요', 'Josa'), ('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]","['역시', '치킨', '교촌']",,,",잘,먹었습니다",",맛있게"
2021년 08월 27일,권선동,교촌치킨-매교점,   손님,교촌오리지날/1,기름이 빠지지않어서솔직히너무느끼하네요ㅠ,3,3,3,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,기름이 빠지지않어서솔직히너무느끼하네요ㅠ,"['기름', '이', '빠지지', '않어서', '솔직히', '너무', '느끼하네요', 'ㅠ']","[('기름', 'Noun'), ('이', 'Josa'), ('빠지지', 'Verb'), ('않어서', 'Verb'), ('솔직히', 'Adjective'), ('너무', 'Adverb'), ('느끼하네요', 'Adjective'), ('ㅠ', 'KoreanParticle')]",['기름'],",너무",,",빠지지,않어서",",솔직히,느끼하네요"
2021년 08월 26일,권선동,교촌치킨-매교점,ck**님,교촌허니콤보/1,완전맛있어요 잘먹었습니다 !!,5,5,5,https://rev-static.yogiyo.co.kr/68941f0e81013e95cfe1c9f845a7b990_tn.jpg,사장님 답글이 없어요 ,완전맛있어요 잘먹었습니다 ,"['완전', '맛있어요', '잘', '먹었습니다']","[('완전', 'Noun'), ('맛있어요', 'Adjective'), ('잘', 'VerbPrefix'), ('먹었습니다', 'Verb')]",['완전'],,,",먹었습니다",",맛있어요"
2021년 08월 26일,권선동,교촌치킨-매교점,ke**님,교촌허니순살[R]/1(사이드 메뉴(교촌칠리포테이토)),배달예상시간보다 빠르고.맛있어요.맛있어서 먹다가 찍었네요.^^,5,5,5,https://rev-static.yogiyo.co.kr/c0aa7d7cf75a85aba139cb19c44f6b72_tn.jpg,사장님 답글이 없어요 ,배달예상시간보다 빠르고맛있어요맛있어서 먹다가 찍었네요,"['배달', '예상', '시간', '보다', '빠르고', '맛있어요', '맛있어서', '먹다가', '찍었네요']","[('배달', 'Noun'), ('예상', 'Noun'), ('시간', 'Noun'), ('보다', 'Josa'), ('빠르고', 'Adjective'), ('맛있어요', 'Adjective'), ('맛있어서', 'Adjective'), ('먹다가', 'Verb'), ('찍었네요', 'Verb')]","['배달', '예상', '시간']",,,",먹다가,찍었네요",",빠르고,맛있어요,맛있어서"
2021년 08월 26일,권선동,교촌치킨-매교점,lo**님,교촌순살[R]/1,이번은 조금 치킨은  마르고질긴감이 있었어요^^저만 느끼는건지 모르겠지만요어쨋거나 맛은 좋아요,4,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,이번은 조금 치킨은  마르고질긴감이 있었어요저만 느끼는건지 모르겠지만요어쨋거나 맛은 좋아요,"['이번', '은', '조금', '치킨', '은', '마르고', '질긴', '감', '이', '있었어요', '저만', '느끼는', '건지', '모르겠지만', '요', '어', '쨋', '거나', '맛', '은', '좋아요']","[('이번', 'Noun'), ('은', 'Josa'), ('조금', 'Noun'), ('치킨', 'Noun'), ('은', 'Josa'), ('마르고', 'Noun'), ('질긴', 'Verb'), ('감', 'Noun'), ('이', 'Josa'), ('있었어요', 'Adjective'), ('저만', 'Modifier'), ('느끼는', 'Verb'), ('건지', 'Verb'), ('모르겠지만', 'Verb'), ('요', 'Noun'), ('어', 'Suffix'), ('쨋', 'Noun'), ('거나', 'Noun'), ('맛', 'Noun'), ('은', 'Josa'), ('좋아요', 'Adjective')]","['이번', '조금', '치킨', '마르고', '감', '요', '쨋', '거나', '맛']",,,",질긴,느끼는,건지,모르겠지만",",있었어요,좋아요"
2021년 08월 26일,권선동,교촌치킨-매교점,qo**님,교촌허니콤보/1(사이드 메뉴(선택안함)),맛있게 잘 먹었어요,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,맛있게 잘 먹었어요,"['맛있게', '잘', '먹었어요']","[('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었어요', 'Verb')]",[],,,",잘,먹었어요",",맛있게"
2021년 08월 25일,권선동,교촌치킨-매교점,il**님,교촌순살[R]/1,배송도 빠르고 맛은 좀더 덜 짜면 좋겠어요.,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,배송도 빠르고 맛은 좀더 덜 짜면 좋겠어요,"['배송', '도', '빠르고', '맛', '은', '좀더', '덜', '짜면', '좋겠어요']","[('배송', 'Noun'), ('도', 'Josa'), ('빠르고', 'Adjective'), ('맛', 'Noun'), ('은', 'Josa'), ('좀더', 'Noun'), ('덜', 'Noun'), ('짜면', 'Verb'), ('좋겠어요', 'Adjective')]","['배송', '맛', '좀더', '덜']",,,",짜면",",빠르고,좋겠어요"
2021년 08월 25일,권선동,교촌치킨-매교점,sk**님,교촌오리지날/1(사이드 메뉴(선택안함)),아이들이 맛있었데요퍽퍽한살도 다먹고 1개도 남기지않을만큼요,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,아이들이 맛있었데요퍽퍽한살도 다먹고 개도 남기지않을만큼요,"['아이', '들', '이', '맛있었데요', '퍽퍽', '한', '살', '도', '다', '먹고', '개도', '남기지', '않을', '만큼', '요']","[('아이', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('맛있었데요', 'Adjective'), ('퍽퍽', 'Noun'), ('한', 'Determiner'), ('살', 'Noun'), ('도', 'Josa'), ('다', 'Adverb'), ('먹고', 'Verb'), ('개도', 'Noun'), ('남기지', 'Verb'), ('않을', 'Verb'), ('만큼', 'Noun'), ('요', 'Josa')]","['아이', '퍽퍽', '살', '개도', '만큼']",",다",,",먹고,남기지,않을",",맛있었데요"
