크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
2021년 7월 6일,권선동,코리엔탈깻잎두마리치킨-권선점,tt**님,2021년 7월 6일,"두마리 3가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（인기）양념),치킨선택3(파닭 양념),사이드추가(소떡소떡（양념맛）,치킨무 추가,깻잎 추가),음료추가(음료 1.25L 변경))",양이 2마리 3가지맛인데한마리 양정도 밖에 없고 2개중 1개인 젖가락 종이가 뜯어져 있고 나무젖가락이 2개들어 있어야 하는데 1개만 들어 있을까요?,5,3,3,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/ecb53853129fefb5aeddb60314ae8227_tn.jpg
2021년 7월 5일,권선동,코리엔탈깻잎두마리치킨-권선점,ri**님,2021년 7월 5일,"두마리 2가지맛 선택/1(치킨선택1(（인기）양념),치킨선택2(후라이드))",잘 받고 잘 먹었습니다.수고 하세요.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/6048396ad3342f663f87856317d9523f_tn.jpg
2021년 7월 4일,권선동,코리엔탈깻잎두마리치킨-권선점,rl**님,2021년 7월 4일,[레드라벨]불마왕치킨 두마리 세트/1(치킨선택1(후라이드)),배달 예상보다 팔랏구요 비도오는데 고생하시더라구요 잘  먹었습니다,3,3,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 7월 4일,권선동,코리엔탈깻잎두마리치킨-권선점,co**님,2021년 7월 4일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（인기）양념))",맛나게~~잘먹엇어용^♡^,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 7월 3일,권선동,코리엔탈깻잎두마리치킨-권선점,ym**님,2021년 7월 3일,한마리 1가지맛 선택/1(치킨선택1(후라이드)),서비스 캔 콜라 감사합니다^^배달 빠르고항상 맛있게 먹고 있습니다담에 또 시킬께요!!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/9c68672e079acd17916c6b11fc9b9456_tn.jpg
2021년 7월 1일,권선동,코리엔탈깻잎두마리치킨-권선점,ka**님,2021년 7월 1일,"[블랙라벨]로제퀸치킨 두마리 세트＋국물떡볶이/1(치킨선택1(간장),국물떡볶이선택(국물떡볶이（매운맛）))",로제 좀 아쉽네요 ㅠ 시큼한 맛이나요떡볶이도 5000대비 양이 적어요,3,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/89f3bcda764bd9063b9db08f30a71155_tn.jpg
2021년 7월 1일,권선동,코리엔탈깻잎두마리치킨-권선점,ja**님,2021년 7월 1일,"두마리 2가지맛 선택/1(치킨선택1(（인기）양념),치킨선택2(간장))",바삭바삭 진짜 맛있네요 양도 많습니다순살도 퍽퍽하지 않고 맛있네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/7a321e0e3351cfba5436f4c036dfcb0f_tn.jpg
2021년 7월 1일,권선동,코리엔탈깻잎두마리치킨-권선점,xp**님,2021년 7월 1일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(후라이드),음료추가(음료 1.25L 변경))",후라이드 가성비 탑,5,5,5,고객님 감사합니다저희 코리엔탈깻잎두마리치킨의 후라이드맛을 아는분이네요본연의맛이 최고가되야 소스를 버무려도 맛있습니다 하하요즘 비가와서 덥고 찝찝하고 습하네요ㅜ낮에는 더워서 진이빠지구요그래도 정성스런 음식으로 위안이될수있었으면 좋겠습니다여름이라 위생에 더욱신경쓰고있습니다찾아주셔서 감사해요오늘도 힘찬하루보내길 바래요,https://rev-static.yogiyo.co.kr/971b0388d61951b1fe61a6ae1d2e51db_tn.jpg
2021년 6월 29일,권선동,코리엔탈깻잎두마리치킨-권선점,xp**님,2021년 6월 29일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(후라이드),음료추가(음료 1.25L 변경))",진짜 바삭하고 맛있어요근데 왜 깻잎인지는 잘 모르겠어요 무슨 뜻이냐면파인애플 피자를 파인애플이랑 피자랑 따로 먹을거면 왜 파인애플 피자라고 하겠어요깻잎 두마리 치킨도 그래요 깻잎을 완전 따로 넣어줄거면 이게 왜 깻잎 치킨인지 이해가 안되잖아요진짜 맛있게 잘 먹었는데 이런 브랜드의 정체성에 대해서도 한번 생각해봤으면 좋겠습니다 아니 난 아직도 왜 깻잎 치킨인지 모르겠어 ㅋㅋㅋㅋㅋ,5,5,5,고객님 감사합니다파우더 반죽할때 깻잎 칩이 들어가긴하지만 소량으로 들어가서 느끼지못하셨나봅니다ㅜㅜ이해합니다다음주문시 깻잎을 반죽에 좀더 넣어드릴께요요청란에 기재해주셔요요즘 비가와서 덥고 찝찝하고 습하네요ㅜ낮에는 더워서 진이빠지구요그래도 정성스런 음식으로 위안이될수있었으면 좋겠습니다여름이라 위생에 더욱신경쓰고있습니다찾아주셔서 감사해요오늘도 힘찬하루보내길 바래요,이미지는 없어요
2021년 6월 27일,권선동,코리엔탈깻잎두마리치킨-권선점,se**님,2021년 6월 27일,[블랙라벨]로제퀸치킨 한마리/1(순살／뼈 선택（필수）(순살)),배달 빠르고 맛있게 먹었습니다.,5,5,5,고객님 감사합니다맛있게 드시고 건강하세요요즘 비가와서 덥고 찝찝하고 습하네요ㅜ낮에는 더워서 진이빠지구요그래도 정성스런 음식으로 위안이될수있었으면 좋겠습니다여름이라 위생에 더욱신경쓰고있습니다찾아주셔서 감사해요오늘도 힘찬하루보내길 바래요,https://rev-static.yogiyo.co.kr/1da61219651a3dea0263545bf4c848cb_tn.jpg
2021년 6월 26일,권선동,코리엔탈깻잎두마리치킨-권선점,ph**님,2021년 6월 26일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(후라이드))",오자마자 먹느라 사진이 없습니다 ㅠㅠ항상 느끼지만 가성비최강이네요요청사항도 꼼꼼히보시고 들어주셔서 좋습니다.맛있게 잘먹었습니다~,5,5,5,고객님 감사합니다맛있다는 한마디에 사진은 필수가아니죵다음에도 눈크게뜨고 요청란 꼼꼼히볼께요요즘 비가와서 덥고 찝찝하고 습하네요ㅜ낮에는 더워서 진이빠지구요그래도 정성스런 음식으로 위안이될수있었으면 좋겠습니다여름이라 위생에 더욱신경쓰고있습니다찾아주셔서 감사해요오늘도 힘찬하루보내길 바래요,이미지는 없어요
